Identifiant du projet lauréat;Lien URL vers le projet soumis au vote;Lien URL vers le projet lauréat;Edition;Titre du projet lauréat;Thématique;Direction pilote du projet lauréat;Budget global du projet lauréat;Echelle du Budget participatif;Adresse du projet lauréat;Arrondissement du projet lauréat;Projet en Quartier populaire;Avancement du projet;Date de début des études du projet;Date de lancement des procédures du projet;Date de lancement des travaux du projet;Date prévisonnelle de livraison du projet;Date d'ouverture du projet au public;Dernière mise à jour des données du projet
2204;;https://decider.paris.fr/bp/jsp/site/Portal.jsp?document_id=2204&portlet_id=158;2014;;Cadre de vie;Direction de la Voirie et des Déplacements;1500000;Budget participatif parisien;Place de l' Hotel de Ville - Esplanade de la Libération;75004;Non;FIN;2017-07;2018-04;2018-01;2018-06;2020-02;
2206;;https://decider.paris.fr/bp/jsp/site/Portal.jsp?document_id=2206&portlet_id=158;2014;Des jardins sur les murs;Environnement;Direction des Espaces Verts et de l’Environnement;2000000;Budget participatif parisien;Place de l' Hotel de Ville - Esplanade de la Libération;75004;Non;FIN;2015-01;2015-01;2015-03;2015-04;2021-12;
3720;https://decider.paris.fr/bp/jsp/site/Portal.jsp?page=idee&campagne=D&idee=002733;https://decider.paris.fr/bp/jsp/site/Portal.jsp?document_id=3720&portlet_id=158;2017;Une zone de remise en forme au jardin Eole;Cadre de vie;Direction des Espaces Verts et de l’Environnement;110000;Budget participatif d’arrondissement;jardin d'Eole;75018;Oui;FIN;2017-11;2018-04;2018-04;2018-07;2020-03;
3780;https://decider.paris.fr/bp/jsp/site/Portal.jsp?page=idee&campagne=D&idee=002718;https://decider.paris.fr/bp/jsp/site/Portal.jsp?document_id=3780&portlet_id=158;2017;#VillePlusPropre;Propreté;Direction de la Propreté et de l’Eau;3000000;Budget participatif parisien;Place de l' Hôtel de Ville - Esplanade de la Libération;75004;Non;FIN;2017-01;2018-09;2018-10;2018-10;2022-01;
8597;https://decider.paris.fr/bp/jsp/site/Portal.jsp?page=idee&campagne=F&idee=001676;https://decider.paris.fr/bp/jsp/site/Portal.jsp?document_id=8597&portlet_id=158;2019;Accessibilité au square des Batignolles;Solidarités;Direction des Espaces Verts et de l’Environnement;45000;Budget participatif d’arrondissement;Square des Batignolles;75017;Non;FIN;2020-01;2020-06;2020-06;2020-07;2020-07;
8689;https://decider.paris.fr/bp/jsp/site/Portal.jsp?page=idee&campagne=F&idee=000950;https://decider.paris.fr/bp/jsp/site/Portal.jsp?document_id=8689&portlet_id=158;2019;Suite de la restauration de la fontaine Louvois;Culture et patrimoine;Direction des Affaires Culturelles;300000;Budget participatif d’arrondissement;69 bis, rue de Richelieu;75123;Non;FIN;2020-01;2020-01;2020-05;2020-12;2021-01;
8767;https://decider.paris.fr/bp/jsp/site/Portal.jsp?page=idee&campagne=F&idee=001904;https://decider.paris.fr/bp/jsp/site/Portal.jsp?document_id=8767&portlet_id=158;2019;Embellir le Pavillon Carré de Baudouin;Culture et patrimoine;Direction Constructions Publiques et Architecture;500000;Budget participatif d’arrondissement;121 rue de Ménilmontant;75020;Oui;FIN;2020-01;2021-02;2022-07;2022-12;2023-03;
8519;https://decider.paris.fr/bp/jsp/site/Portal.jsp?page=idee&campagne=F&idee=001129;https://decider.paris.fr/bp/jsp/site/Portal.jsp?document_id=8519&portlet_id=158;2019;Pour une réhabilitation écologique du lac du parc Montsouris;Environnement;Direction des Espaces Verts et de l’Environnement;120000;Budget participatif d’arrondissement;parc Montsouris;75014;Non;FIN;2020-01;2020-09;2020-11;2021-01;2021-05;
8818;https://decider.paris.fr/bp/jsp/site/Portal.jsp?page=idee&campagne=F&idee=002211;https://decider.paris.fr/bp/jsp/site/Portal.jsp?document_id=8818&portlet_id=158;2019;Rénovation de l’Île aux Cygnes;Cadre de vie;Direction de la Voirie et des Déplacements;500000;Budget participatif d’arrondissement;Île aux Cygnes;75015;Non;TRAVAUX;2020-01;;2022-06;2024-06;;
8743;https://decider.paris.fr/bp/jsp/site/Portal.jsp?page=idee&campagne=F&idee=001070;https://decider.paris.fr/bp/jsp/site/Portal.jsp?document_id=8743&portlet_id=158;2019;Ouverture d'un café des enfants à la Goutte d'Or;Education et jeunesse;Direction de la Démocratie, des Citoyens et des Territoires;350000;Budget participatif d’arrondissement;9 Rue Saint-Bruno;75018;Oui;ETUDES;2020-01;;;;;
